Final238_206,Final238_206_Int2SE,Final207_206,Final207_206_Int2SE,208/206,err 1%
496.664418212479,11.0000161809626,0.5455,0.0056,1.46404109589041,0.0146404109589041
519.951602023609,8.30002144463731,0.527,0.0055,1.40334980779791,0.0140334980779791
478.305227655987,11.0000161809626,0.5472,0.0056,1.43604651162791,0.0143604651162791
544.97807757167,13.0000136915866,0.5096,0.0084,1.38015828151498,0.0138015828151498
636.774030354132,14.0000127136171,0.4521,0.0082,1.18541300527241,0.0118541300527241
665.762225969646,14.0000127136171,0.4377,0.0083,1.14699386503068,0.0114699386503068
641.605396290051,10.0000177990561,0.4511,0.0062,1.21823529411765,0.0121823529411765
671.173355817875,9.00001977672489,0.4366,0.0051,1.15993171942893,0.0115993171942893
599.2826306914,8.00002224880901,0.4872,0.0038,1.28593155893536,0.0128593155893536
573.193254637437,5.80003068797392,0.4985,0.0038,1.30607814761216,0.0130607814761216
627.691062394604,6.60002696823575,0.466,0.0033,1.21282169117647,0.0121282169117647
677.45413153457,6.90002579570824,0.4268,0.0039,1.11174682144831,0.0111174682144831
733.401349072513,29.0000061376104,0.393,0.013,1.08571428571429,0.0108571428571429
635.904384485666,9.40001893516386,0.4521,0.0055,1.2071475843812,0.012071475843812
605.85328836425,7.60002341979544,0.4695,0.0044,1.24396226415094,0.0124396226415094
479.27150084317,15.0000118660433,0.5538,0.0079,1.4916934619507,0.014916934619507
372.111804384486,7.00002542719947,0.62,0.0056,1.67146226415094,0.0167146226415094
526.135750421585,7.90002253043871,0.53,0.0061,1.40128120893561,0.0140128120893561
497.437436762226,5.7000312263565,0.5482,0.0037,1.45018939393939,0.0145018939393939
514.443844856661,8.40002118934465,0.5264,0.0058,1.41625766871166,0.0141625766871166
460.81568296796,8.00002224880901,0.5617,0.0051,1.50195530726257,0.0150195530726257
501.205902192243,6.40002781098951,0.5426,0.0045,1.42754312908983,0.0142754312908983
515.313490725127,9.60001854068205,0.5302,0.0054,1.41736334405145,0.0141736334405145
465.067284991568,8.70002045867935,0.5664,0.0063,1.50892325996431,0.0150892325996431
314.038785834739,20.000008899534,0.664,0.013,1.79038461538462,0.0179038461538462
319.160033726813,5.60003178396687,0.658,0.0048,1.77430243024302,0.0177430243024302
329.692411467116,6.30002825243182,0.6483,0.0045,1.74257864421799,0.0174257864421799
157.502529510961,2.30007738596752,0.7574,0.0034,2.04749132218365,0.0204749132218365
263.116188870152,5.20003422887188,0.6943,0.004,1.86607142857143,0.0186607142857143
597.833220910624,7.70002311564317,0.482,0.0042,1.26985177342509,0.0126985177342509
