U8Pb6,2se%,Pb76,2se%,Pb46,2se%,rXY,rXZ,rYZ
921.24,0.10,0.4986,0.08,0.03056,0.11,-0.765,-0.591,0.505
723.16,0.65,0.5677,0.36,0.03522,0.49,-0.824,-0.710,0.586
787.50,0.29,0.5463,0.18,0.03381,0.25,-0.802,-0.652,0.546
1259.36,0.45,0.3828,0.57,0.02271,0.72,-0.927,-0.866,0.805
2047.12,2.35,0.0894,20.09,0.00287,44.24,-0.972,-0.946,0.920
1897.86,1.72,0.1490,8.17,0.00695,12.48,-0.967,-0.936,0.906
1449.58,2.51,0.2288,6.91,0.01229,9.26,-0.958,-0.921,0.884
2058.51,1.19,0.0861,10.56,0.00270,23.83,-0.971,-0.944,0.919
2063.49,0.81,0.0867,7.16,0.00267,16.47,-0.971,-0.946,0.920
1889.36,1.40,0.1488,6.64,0.00691,10.17,-0.967,-0.937,0.907
2093.76,0.52,0.0720,5.65,0.00166,17.37,-0.970,-0.945,0.923
2092.70,0.59,0.0762,6.02,0.00198,16.41,-0.971,-0.946,0.922
433.44,2.67,0.6642,1.21,0.04193,1.89,-0.698,-0.207,-0.183
1852.88,2.14,0.1567,9.27,0.00744,13.70,-0.950,-0.850,0.880
553.54,0.92,0.6660,0.68,0.04323,2.39,-0.642,0.323,-0.456
1719.14,2.67,0.1925,9.11,0.00984,12.56,-0.956,-0.862,0.867
1697.00,2.40,0.2193,6.89,0.01180,9.06,-0.953,-0.830,0.842
1557.06,0.98,0.2710,1.80,0.01510,2.56,-0.919,-0.264,0.471
1478.92,2.08,0.3003,3.84,0.01715,4.90,-0.947,-0.733,0.741
1785.07,1.34,0.1856,4.42,0.00940,6.20,-0.924,-0.694,0.816
846.80,1.89,0.5305,1.39,0.03281,2.00,-0.874,-0.319,0.105
1024.24,0.76,0.4563,0.76,0.02776,1.34,-0.965,0.549,-0.603
1070.48,1.81,0.4289,1.92,0.02600,2.54,-0.927,-0.486,0.413
927.66,1.36,0.4724,1.25,0.02876,1.82,-0.919,-0.187,0.058
1047.38,1.06,0.4475,1.06,0.02725,1.62,-0.941,0.039,-0.114
